,knowledge,0.01,0.05,0.1,0.15,0.25,0.5,1
sum_pro,56590.45340999222,42282.00271743428,52585.69153759424,61977.459945613096,67247.97667582556,73707.8329348273,70795.34318944887,67262.24051919853
mean_pro,23.30743550658658,17.32868963829274,21.49864739885292,25.400598338366024,27.515538738062837,30.18338777019954,29.038286788125053,27.702734974958208
sum_anti,45377.308179431304,54406.54040667965,59070.58162218958,66539.31805258655,69563.36986668759,73268.13708249846,73906.79256944568,79620.51050952755
mean_anti,18.536482099440892,22.48204149036349,24.348961921759926,27.382435412587057,28.626901179706827,30.35134096209547,30.41431792981303,32.79263200557148
