,knowledge,0.01,0.05,0.1,0.15,0.25,0.5,1
sum_pro,61615.14261972499,54956.03676972103,57550.65394364968,63198.45574760151,69603.15901237895,72946.25105182905,65034.88251621971,67542.90160767647
mean_pro,25.169584403482432,22.449361425539635,23.5092540619484,25.858615281342676,28.47919763190628,29.920529553662448,26.63181102220299,27.749754152701918
sum_anti,47325.92368544548,54102.80470847016,55621.07807172379,62497.50973970104,67560.53621581351,74549.67317847154,79110.23775915914,78995.10740970238
mean_anti,19.332485165623154,22.356530871268664,23.136887717023207,25.954115340407412,28.22077536165978,31.192331873837464,32.88039807113845,32.669606042060536
