,knowledge,0.01,0.05,0.1,0.15,0.25,0.5,1
sum_pro,44275.98606196462,46041.24525783824,52291.93554093425,61595.71859463916,69067.93527592118,74764.89740261331,83389.80157446182,75053.45676996151
mean_pro,18.101384326232473,18.962621605369954,21.590394525571533,25.945964024700572,28.85043244608236,30.97137423471968,34.57288622490125,31.06517250412315
sum_anti,52085.05710646814,37965.335689734755,43812.75380794481,50375.50254770284,56400.792566971686,60929.809679726444,65230.95085177347,68255.37666669517
mean_anti,21.522750870441385,15.585113173125926,17.89736675161144,20.679598747004448,23.096147652322557,24.90997942752512,26.646630249907464,27.85933741497762
