,knowledge,0.01,0.05,0.1,0.15,0.25,0.5,1
sum_pro,61615.14261972499,58023.917640595726,60878.00552313778,68467.76230349518,73701.66900133915,80458.3955843063,77155.80217867796,72235.0391440425
mean_pro,25.169584403482432,24.03641990082673,25.197849968186166,28.29246376177486,30.50565769922978,33.302316053106914,32.09475964171296,30.022875787216336
sum_anti,47325.92368544548,47584.54451413297,51162.215192622825,56131.90225740378,59714.70230318776,61975.1824470377,71999.98872866922,74822.33233639204
mean_anti,19.332485165623154,19.438130928975887,20.933803270303937,23.042652815026184,24.473238648847442,25.525198701415857,29.50819210191361,30.614702265299517
